                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2711,                 9.0812,                 2.4308,                0.00032,                0.43333,                0.00766,                0.00138,                 2.3696,                 17.542,                 2.2132,             0.00064865,             0.00064865,             0.00064865
                      2,                 2.5189,                 4.6441,                 1.9896,                0.00062,                0.83333,                0.10162,                0.02744,                 2.5612,                 16.299,                 1.8574,              0.0013023,              0.0013023,              0.0013023
                      3,                 2.5997,                  4.422,                 2.0071,                0.12325,                0.15556,                0.05622,                0.00855,                   2.35,                 7.8836,                 2.1399,              0.0019427,              0.0019427,              0.0019427
                      4,                   2.58,                  3.271,                 1.9663,                 0.1058,                0.12222,                0.05322,                0.01008,                 2.4433,                 9.7914,                 2.1701,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.4901,                 2.8735,                 1.9674,                0.04694,                0.13333,                0.01966,                0.00376,                 2.5254,                 7.1707,                 2.1276,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.3469,                 2.5199,                 1.8619,                 0.2602,                0.37778,                0.24691,                0.08867,                  1.983,                 4.7817,                 1.7295,               0.001901,               0.001901,               0.001901
                      7,                 2.4669,                  2.497,                 1.9526,                0.25904,                0.35556,                0.23995,                0.10022,                 2.1027,                 7.4479,                 1.9473,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.2824,                 2.1469,                 1.8649,                0.25335,                0.48889,                0.22117,                0.07233,                 1.9509,                 2.9108,                 1.8151,              0.0018614,              0.0018614,              0.0018614
                      9,                   2.24,                 2.0007,                 1.8803,                0.26933,                0.38889,                0.19902,                0.05038,                 2.0998,                  4.018,                 1.9604,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.3209,                   1.83,                 1.8942,                0.33293,                0.64329,                0.28887,                0.11181,                 1.9377,                 2.9773,                 1.8111,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.1705,                 1.8041,                  1.836,                0.35318,                0.61111,                0.32047,                0.10078,                  2.126,                 2.6768,                 1.9153,               0.001802,               0.001802,               0.001802
                     12,                 2.1288,                 1.7525,                 1.8026,                0.30726,                    0.5,                0.27583,                0.10107,                 2.3129,                   3.32,                 2.0533,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.1299,                 1.5783,                 1.7772,                0.31569,                0.56897,                0.26811,                0.08242,                 2.1048,                 2.4747,                 1.9281,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.1189,                 1.7334,                 1.7515,                0.35612,                0.67778,                0.33349,                0.14204,                  1.834,                 3.8089,                 1.7684,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.0368,                 1.5334,                 1.7146,                0.37574,                0.64874,                0.33282,                0.14594,                 1.8127,                 3.5257,                 1.7801,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.9759,                 1.4496,                 1.6955,                0.33666,                0.65556,                0.35349,                0.15288,                 1.8076,                 3.4484,                 1.8179,               0.001703,               0.001703,               0.001703
                     17,                 1.8922,                 1.3969,                 1.6335,                0.35385,                0.72222,                0.32829,                0.15189,                 1.7623,                 3.1209,                 1.7453,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.9913,                 1.4347,                 1.7043,                0.43665,                0.65556,                0.39918,                0.15691,                 1.9124,                 2.5469,                 1.8469,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.0495,                 1.5704,                 1.7043,                0.31957,                0.64444,                0.29726,                0.10532,                 1.9294,                 3.0463,                 1.7476,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.9446,                 1.4786,                 1.7026,                0.39335,                0.77778,                0.39554,                0.18615,                 1.5793,                 2.6894,                 1.6412,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.9502,                 1.3663,                 1.6514,                0.38626,                0.71111,                0.38173,                0.17039,                 1.6617,                 4.3099,                  1.705,               0.001604,               0.001604,               0.001604
                     22,                 1.8145,                 1.3204,                 1.6007,                0.39523,                0.72222,                0.40255,                0.16914,                  1.786,                 4.7768,                 1.8274,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.9376,                 1.4548,                 1.6787,                0.37155,                0.68889,                0.38022,                0.16911,                 1.9174,                 3.3447,                 1.8157,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.9008,                 1.4495,                 1.5903,                0.37017,                0.67778,                0.33234,                0.15123,                 1.6587,                 2.9117,                 1.6642,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.7604,                  1.253,                 1.6084,                0.37761,                0.78889,                 0.4065,                0.21841,                 1.5697,                 2.3254,                 1.6126,              0.0015248,              0.0015248,              0.0015248
                     26,                  1.927,                 1.3912,                 1.6501,                0.37719,                0.76667,                0.36006,                0.18208,                 1.6265,                 2.8056,                  1.665,               0.001505,               0.001505,               0.001505
                     27,                 1.8286,                 1.2907,                  1.523,                0.40649,                0.66667,                0.40223,                0.20905,                 1.5384,                 2.3607,                 1.5755,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.7585,                 1.2698,                  1.521,                0.39547,                0.75556,                0.42685,                0.23489,                 1.5919,                  2.722,                 1.6947,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.7888,                 1.2326,                 1.5796,                0.37792,                0.76667,                0.38508,                0.20554,                 1.6107,                 3.0234,                 1.7417,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.7994,                 1.2478,                  1.596,                0.36731,                0.72894,                0.35886,                0.19172,                 1.5658,                 3.0645,                 1.6428,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.6993,                 1.1481,                 1.5357,                0.41535,                0.68889,                0.38733,                0.19534,                 1.8018,                 2.9316,                 1.7022,               0.001406,               0.001406,               0.001406
                     32,                 1.7436,                 1.1169,                 1.5304,                 0.3976,                0.74444,                0.39508,                0.22125,                 1.5783,                 3.0996,                  1.651,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.7185,                 1.0872,                  1.512,                0.39013,                    0.8,                0.40842,                0.22959,                 1.5399,                 3.4003,                 1.6535,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.6297,                 1.0247,                 1.5252,                0.40847,                0.74444,                0.41378,                0.23638,                 1.4288,                 4.0051,                  1.588,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.6237,                 1.0928,                 1.4659,                0.39113,                0.77778,                0.39061,                0.20114,                 1.6733,                  3.549,                 1.7284,              0.0013268,              0.0013268,              0.0013268
